cv_inf_ms,proc_time_ms
112.674,143.43
121.473,147.82
128.58,156.24
110.956,141.17
131.089,160.81
140.496,170.42
131.477,158.95
127.129,152.3
96.829,122.72
120.927,148.53
136.773,164.7
133.748,163.7
142.769,169.22
133.087,154.29
123.239,151.16
112.874,139.49
145.891,173.09
98.802,125.36
132.072,158.93
106.453,131.97
101.817,160.66
103.162,127.53
127.888,153.48
124.137,146.61
146.761,175.4
105.245,127.19
145.909,170.42
129.134,149.75
131.651,155.36
124.766,154.08
119.902,146.85
110.885,158.88
117.672,137.65
119.733,139.27
105.471,133.51
138.242,182.37
107.09,137.59
89.504,110.7
75.872,99.16
114.807,190.41
134.583,166.8
151.702,187.4
120.933,145.39
138.243,161.3
107.714,129.86
118.224,143.62
111.365,134.13
125.432,182.12
111.621,138.5
138.384,203.19
142.134,158.38
141.131,163.41
135.156,159.03
130.814,149.38
161.827,178.89
119.392,135.57
115.382,135.82
113.433,135.18
141.504,158.51
142.394,160.36
125.544,142.45
133.012,148.92
167.094,182.64
142.046,169.64
114.49,132.23
135.06,151.79
112.003,131.57
95.882,111.92
98.857,128.08
90.281,106.96
138.857,163.43
104.767,120.06
127.773,142.86
120.338,139.92
113.651,144.42
139.744,184.95
112.503,132.43
104.917,126.33
88.508,140.1
115.923,129.75
87.792,107.59
126.517,146.86
102.203,119.06
137.02,156.8
138.511,154.4
89.55,125.67
145.526,191.06
135.503,161.21
131.023,145.91
90.743,113.43
86.616,105.54
133.735,164.42
89.214,108.0
98.319,116.44
99.673,122.19
111.919,131.31
112.214,128.81
131.282,146.33
107.632,136.55
91.316,112.59
113.688,131.78
118.335,133.09
101.755,121.34
115.096,131.37
124.223,139.09
88.225,104.3
95.632,115.44
109.994,123.58
116.868,134.88
108.492,134.85
102.967,126.5
137.899,168.02
136.15,153.31
120.32,139.77
129.663,143.4
116.727,131.83
113.561,126.37
99.364,116.93
109.317,127.56
88.616,102.44
139.24,157.68
137.673,191.2
121.463,180.68
121.325,176.54
111.287,170.3
151.57,169.1
126.351,148.26
124.767,180.6
118.908,176.49
163.43,224.07
118.188,171.62
124.827,176.05
126.825,169.66
115.368,165.53
105.932,142.83
71.94,85.56
103.789,121.05
134.939,144.85
143.411,155.37
91.535,105.53
95.519,113.14
105.926,145.75
102.449,126.66
144.195,166.78
114.959,131.83
84.229,98.9
135.556,168.89
71.081,88.01
90.162,119.69
116.295,134.98
110.332,132.11
98.385,117.01
104.577,120.88
117.383,131.93
113.832,127.87
113.48,129.99
114.86,133.3
127.607,144.64
111.506,127.45
103.373,124.78
116.856,137.64
111.724,127.66
113.495,130.42
105.349,134.45
110.153,126.54
101.99,127.1
128.625,144.75
102.865,126.93
115.515,131.07
105.351,126.65
103.388,123.23
102.723,124.53
99.675,123.96
140.833,155.49
94.905,112.12
98.257,122.51
111.238,138.38
96.202,124.38
104.201,122.05
98.566,126.55
120.218,139.52
99.915,119.55
114.054,127.29
110.776,126.75
114.044,131.09
117.411,137.8
125.748,141.78
140.281,168.1
121.362,183.95
111.846,133.13
113.615,138.86
112.907,136.78
107.286,130.51
118.81,144.03
103.726,128.79
101.229,126.94
98.838,130.05
102.3,130.7
110.034,139.2
98.231,123.5
98.457,130.01
113.211,136.85
92.224,118.41
118.155,137.65
102.278,124.49
121.729,149.53
102.113,126.56
132.449,152.55
105.363,171.15
141.193,168.26
136.833,158.36
113.59,134.4
109.74,146.57
128.554,156.88
112.458,133.94
126.048,147.58
99.982,126.91
115.342,145.24
113.24,138.15
119.191,140.05
130.205,150.49
115.57,141.57
129.61,153.37
100.737,128.52
110.063,130.13
92.454,119.22
102.642,128.8
93.066,112.55
156.029,177.17
106.165,134.44
111.011,133.7
92.483,113.43
141.433,161.72
122.055,143.18
106.032,132.49
124.522,148.03
128.903,156.8
112.62,135.7
105.67,129.96
98.033,121.66
93.804,121.05
100.936,123.68
104.304,136.13
98.791,127.0
122.587,153.03
125.773,146.31
95.363,118.98
88.007,114.91
106.613,131.99
96.284,122.54
98.929,127.39
100.939,135.78
93.187,122.7
138.542,203.85
100.934,125.24
123.295,146.43
108.823,127.06
123.872,147.83
118.017,138.64
123.814,140.73
133.842,155.6
123.297,147.62
92.821,115.68
123.268,148.38
116.297,140.43
89.688,109.66
93.451,120.0
111.633,138.0
93.561,116.03
105.458,128.24
119.167,144.13
148.401,171.33
131.27,152.21
96.193,120.51
118.813,141.93
129.99,153.72
93.315,116.31
106.244,133.26
136.302,159.07
145.506,170.49
118.918,160.37
160.836,207.31
117.712,144.11
119.431,142.17
119.855,145.67
132.504,157.9
118.757,147.3
122.199,152.29
144.785,173.16
126.155,149.98
122.85,146.78
146.297,171.78
124.988,152.73
147.017,169.68
156.705,182.17
86.898,112.62
127.607,158.62
116.124,140.06
119.154,142.4
132.13,155.71
159.069,180.14
121.739,149.13
144.968,171.06
131.874,157.96
159.665,185.65
112.316,135.95
122.81,147.01
133.912,157.45
108.985,147.99
112.521,144.86
136.184,161.27
134.611,202.16
128.064,194.37
103.809,127.87
113.272,146.5
98.471,122.02
122.565,147.54
